_id,_athlete_id,_recruit_type,_year,_ranking,_name,_school,_committed_to,_position,_height,_weight,_stars,_rating,_city,_state_province,_country,_hometown_info,discriminator
46797,4426331,HighSchool,2019,1,Nolan Smith,IMG Academy,Georgia,WDE,75,227,5,0.9994,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
46798,4426326,HighSchool,2019,2,Kayvon Thibodeaux,Oaks Christian,Oregon,WDE,76,239,5,0.9987,Thousand Oaks,CA,USA,"{'latitude': '34.17142715', 'longitude': '-118.91058772974445', 'fipsCode': '06111'}",
46799,4426434,HighSchool,2019,3,Derek Stingley,Dunham School,LSU,CB,72,188,5,0.998,Baton Rouge,LA,USA,"{'latitude': '30.4459596', 'longitude': '-91.18738', 'fipsCode': '22033'}",
46800,4426370,HighSchool,2019,4,Jadon Haselwood,Cedar Grove,Oklahoma,WR,74,196,5,0.9967,Ellenwood,GA,USA,"{'latitude': '33.6101096', 'longitude': '-84.287978', 'fipsCode': '13063'}",
46801,4567128,HighSchool,2019,5,Antonio Alfano,Colonia,Alabama,SDE,76,285,5,0.9965,Colonia,NJ,USA,"{'latitude': '40.5745485', 'longitude': '-74.3020918', 'fipsCode': '34023'}",
46802,107494,HighSchool,2019,6,Trey Sanders,IMG Academy,Alabama,RB,72,214,5,0.9963,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
46803,4567134,HighSchool,2019,7,Evan Neal,IMG Academy,Alabama,OT,79,360,5,0.9946,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
46804,4426332,HighSchool,2019,8,Zacch Pickens,T L Hanna,South Carolina,DT,75,293,5,0.9946,Anderson,SC,USA,"{'latitude': '34.5068601', 'longitude': '-82.6506264', 'fipsCode': '45007'}",
46805,4426337,HighSchool,2019,9,Bru McCoy,Mater Dei,Texas,ATH,74,205,5,0.9944,Santa Ana,CA,USA,"{'latitude': '33.7494951', 'longitude': '-117.8732213', 'fipsCode': '06059'}",
46806,4426358,HighSchool,2019,10,Darnell Wright,Huntington,Tennessee,OT,78,320,5,0.9944,Huntington,WV,USA,"{'latitude': '38.4192496', 'longitude': '-82.445154', 'fipsCode': '54011'}",
46807,4426339,HighSchool,2019,11,Spencer Rattler,Pinnacle,Oklahoma,PRO,73,192,5,0.9942,Phoenix,AZ,USA,"{'latitude': '33.4484367', 'longitude': '-112.0741417', 'fipsCode': '04013'}",
46808,4426412,HighSchool,2019,12,Zach Harrison,Olentangy Orange,Ohio State,SDE,77,253,5,0.9933,Lewis Center,OH,USA,"{'latitude': '40.1983958', 'longitude': '-83.0101843', 'fipsCode': '39041'}",
46809,4426333,HighSchool,2019,13,John Emery Jr.,Destrehan,LSU,RB,71,206,5,0.9929,Destrehan,LA,USA,"{'latitude': '29.960933', 'longitude': '-90.3705407077716', 'fipsCode': '22089'}",
46810,4426422,HighSchool,2019,14,Daxton Hill,Booker T. Washington,Michigan,S,72,186,5,0.9927,Tulsa,OK,USA,"{'latitude': '36.1556805', 'longitude': '-95.9929113', 'fipsCode': '40143'}",
46811,4426327,HighSchool,2019,15,Kenyon Green,Atascocita,Texas A&M,OT,76,322,5,0.9926,Humble,TX,USA,"{'latitude': '29.9988312', 'longitude': '-95.2621553', 'fipsCode': '48201'}",
46812,4426359,HighSchool,2019,16,DeMarvin Leal,Judson,Texas A&M,DT,76,289,5,0.992,Converse,TX,USA,"{'latitude': '29.5180081', 'longitude': '-98.3161241', 'fipsCode': '48029'}",
46813,4570075,HighSchool,2019,17,Logan Brown,East Kentwood,Wisconsin,OT,78,305,5,0.9915,Grand Rapids,MI,USA,"{'latitude': '42.9632405', 'longitude': '-85.6678639', 'fipsCode': '26081'}",
46814,4575416,HighSchool,2019,18,Brandon Smith,Louisa County,Penn State,ILB,76,228,5,0.9911,Mineral,VA,USA,"{'latitude': '38.010695', 'longitude': '-77.9086068', 'fipsCode': '51109'}",
46815,4426340,HighSchool,2019,19,Nakobe Dean,Horn Lake,Georgia,ILB,72,220,5,0.9908,Horn Lake,MS,USA,"{'latitude': '34.9553719', 'longitude': '-90.0348139', 'fipsCode': '28033'}",
46816,4569618,HighSchool,2019,20,Garrett Wilson,Lake Travis,Ohio State,WR,71,175,5,0.9903,Austin,TX,USA,"{'latitude': '30.2711286', 'longitude': '-97.7436995', 'fipsCode': '48453'}",
46817,4426535,HighSchool,2019,21,Theo Wease,Allen,Oklahoma,WR,75,202,5,0.9903,Allen,TX,USA,"{'latitude': '33.1031744', 'longitude': '-96.6705503', 'fipsCode': '48085'}",
46818,4426349,HighSchool,2019,22,Travon Walker,Upson-Lee,Georgia,DT,77,285,5,0.9901,Thomaston,GA,USA,"{'latitude': '32.8881879', 'longitude': '-84.3265855', 'fipsCode': '13293'}",
46819,4426344,HighSchool,2019,23,Andrew Booth,Archer,Clemson,CB,73,188,5,0.9891,Lawrenceville,GA,USA,"{'latitude': '33.9562149', 'longitude': '-83.9879625', 'fipsCode': '13135'}",
